Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
BGIS - Safe Fire Electrical,Waiver,WA-55020,BGIS PTY LTD; 83 064 638 197,FIRE SYSTEMS (S.A.) PTY LTD; 45 109 996 876,Construction and Engineering,,2026-05-19,Waiver application,Assessment completed,,,,8,7,Approved,2026-05-27,3234 Fire and Security Alarm Installation Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/bgis-safe-fire-electrical,27 May 2026: Notification waiver determination published,,,,2026-05-27T17:08:12+10:00,2026-08-11T01:56:49.469233Z
Laundy – Woy Woy Hotel,Waiver,WA-25025,LAUNDY WOY FREEHOLD PTY LTD; 65 696 471 306; LAUNDY WOY TRADING PTY LTD; 29 696 470 345,HARVEST PUB OPERATIONS 2 PTY LTD; 51 652 748 242; AMAL TRUSTEES PTY LIMITED; 98 609 737 064,Accommodation and Hospitality; Property and Real Estate,,2026-05-19,Waiver application,Assessment completed,,,,16,12,Not approved,2026-06-04,"4520 Pubs, Taverns and Bars; 6712 Non-Residential Property Operators",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/laundy-%E2%80%93-woy-woy-hotel,4 Jun 2026: Notification waiver determination published,,,,2026-06-04T16:44:20+10:00,2026-08-11T01:56:49.469233Z
Magellan Financial Group - Barrenjoey,Notification,MN-95007,Magellan Financial Group Ltd; 59 108 437 592,Barrenjoey Capital Partners Group Holdings Pty Limited; 44 644 241 510,Asset Management and Investment; Financial Advisory and Broking,,2026-05-19,Phase 1 - initial assessment,Assessment completed,,,,24,17,Approved,2026-06-12,6240 Financial Asset Investing; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/magellan-financial-group-barrenjoey,11 Jun 2026: Magellan Financial Group - Barrenjoey - Phase 1 determination,,,,2026-06-12T08:44:51+10:00,2026-08-11T01:56:49.469233Z
SOILCO - Go Grow,Waiver,WA-80018,SOILCO PTY LIMITED; 85 055 303 243,GARDEN MEDIUMS PTY LIMITED; 44 079 600 230; Lumime Pty Ltd; 001 931 228,Construction and Engineering; Retail Trade,"I Squared Capital, LLC",2026-05-18,Waiver application,Assessment completed,,,,15,11,Approved,2026-06-02,3291 Landscape Construction Services; 4232 Garden Supplies Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/soilco-go-grow,2 Jun 2026: Notification waiver determination published,,,,2026-06-02T17:34:44+10:00,2026-08-11T01:56:49.469233Z
Direct Couriers – Phoenix Transport,Waiver,WA-80017,DIRECT COURIERS (AUST.) PTY. LIMITED; 87 063 478 295,PHOENIX TRANSPORT HOLDINGS PTY LTD; 75 062 309 773; PHOENIX DISTRIBUTION (NSW) PTY LTD; 24 073 843 982,Transport and Logistics,DIRECT COURIERS GROUP PTY LTD; 70 637 899 051; FRF GROUP PTY LTD; 11 624 735 459; ANACACIA CAPITAL PTY LIMITED; 82 123 237 114,2026-05-18,Waiver application,Assessment completed,,,,15,11,Approved,2026-06-02,4610 Road Freight Transport; 5102 Courier Pick-up and Delivery Services; 5309 Other Warehousing and Storage Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/direct-couriers-%E2%80%93-phoenix-transport,2 Jun 2026: Notification waiver determination published,,,,2026-06-02T17:24:53+10:00,2026-08-11T01:56:49.469233Z
UP Education – Australian Academy of Beauty Dermal & Laser,Waiver,WA-85030,UP EDUCATION AUSTRALIA PTY LTD; 58 095 741 227,AUSTRALIAN ACADEMY OF BEAUTY DERMAL AND LASER PTY LTD; 88 089 942 647,Education and Training,Pacific Equity Partners,2026-05-18,Waiver application,Assessment completed,,,,14,10,Approved,2026-06-01,8101 Technical and Vocational Education and Training; 8102 Higher Education,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/up-education-%E2%80%93-australian-academy-of-beauty-dermal-laser,1 Jun 2026: Notification waiver determination published,,,,2026-06-01T17:23:34+10:00,2026-08-11T01:56:49.469233Z
Tinicum and Blackstone led consortium – Senior,Waiver,WA-30018,Zeus UK Bidco Limited; UK company number - 17118800; Tinicum L.P.; Incorporation number - 5040692; BMA IX LLC; File number - 6549791,Senior plc; Company number - 00282772,Automotive Manufacturing,"AeroFlow Technologies, LLC; PennAero",2026-05-18,Waiver application,Assessment completed,,,,14,10,Approved,2026-06-01,2394 Aircraft Manufacturing and Repair Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/tinicum-and-blackstone-led-consortium-%E2%80%93-senior,1 Jun 2026: Notification waiver determination published,,,,2026-06-01T17:08:15+10:00,2026-08-11T01:56:49.469233Z
Eli Lilly - Kelonia Therapeutics,Notification,MN-95016,Eli Lilly and Company; IRS Employer Identification Number - 35-0470950,"Kelonia Therapeutics, Inc.",Pharmaceutical Manufacturing; Professional Services,Shareholder Representative Services LLC; Kang Acquisition Corporation,2026-05-18,Phase 1 - initial assessment,Assessment completed,,,,,,Approved,,1841 Human Pharmaceutical and Medicinal Product Manufacturing; 6910 Scientific Research Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/eli-lilly-kelonia-therapeutics,10 Jun 2026: Eli Lilly - Kelonia Therapeutics - Phase 1 Determination,,,,2026-06-10T12:20:13+10:00,2026-08-11T01:56:49.469233Z
Restaurant Brands and Yum! Brands – Taco Bell restaurants,Notification,MN-70018,Taco Ventures Pty Ltd; 697 591 692,Collins Foods Subsidiary Pty Ltd; 94 616 663 793,Accommodation and Hospitality,"Restaurant Brands New Zealand Limited; NZBN - 9429038138775; Yum! Brands, Inc.; US-NC - 0428278; Gardiner Lane Capital, LLC; US-DE - 3308412; Collins Foods Limited; 13 151 420 781; Collins Restaurants Management Pty Ltd; 24 093 912 979; Restaurant Brands Australia Holdings Pty Ltd; 53 611 058 701; QSR Pty Ltd; 63 089 163 682",2026-05-18,Phase 1 - initial assessment,Assessment completed,,,,24,17,Approved,2026-06-11,4512 Takeaway Food Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/restaurant-brands-and-yum-brands-%E2%80%93-taco-bell-restaurants,10 Jun 2026: Restaurant Brands and Yum - Taco Bell Restaurants - Phase 1 determination,,,,2026-06-12T08:46:44+10:00,2026-08-11T01:56:49.469233Z
Primary Wave - Kobalt,Notification,MN-25018,"Primary Wave KB Holdings, LP; Registration number 136215",Kobalt Music Group Topco L.P.; Registration number 393466,Media and Entertainment,"Primary Wave Music IP Fund 4 GP, LLC; Company number 7667915; KOBALT MUSIC SERVICES AUSTRALIA PTY LIMITED; 12 144 997 142; KOBALT MUSIC PUBLISHING AUSTRALIA PTY LIMITED; 63 144 996 609; Brookfield Corporation; Company number 1644037; Primary Wave Music IP Fund 4, LP; Company number 7667918; PWMP Ventures, LLC; Company number 5324467",2026-05-18,Phase 1 - initial assessment,Assessment completed,,,,24,17,Approved,2026-06-11,5521 Music Publishing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/primary-wave-kobalt,10 Jun 2026: Primary Wave-Kobalt - Phase 1 determination,,,,2026-06-11T10:04:09+10:00,2026-08-11T01:56:49.469233Z
Allegro - Fantastic Furniture,Waiver,WA-55019,Fantastic Group BidCo Pty Ltd; 697 467 100,Fantastic Furniture – The Package Deal Kings Limited; NZCN - 1015185; FANTASTIC FURNITURE PTY LIMITED; 66 003 688 855; FHL DISTRIBUTION CENTRE PTY LTD; 96 114 853 315; Fantastic Furniture Limited; NZCN - 1015180; FANTASTIC MANUFACTURING PTY LTD; 20 158 159 230; FF BRANDS PTY LTD; 75 074 780 555,Manufacturing; Retail Trade,Allegro Funds Pty Ltd,2026-05-15,Waiver application,Assessment completed,,,,11,8,Approved,2026-05-26,2511 Wooden Furniture and Upholstered Seat Manufacturing; 4211 Furniture Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/allegro-fantastic-furniture,26 May 2026: Notification waiver determination published,,,,2026-05-26T17:18:53+10:00,2026-08-11T01:56:49.469233Z
Blackstone - Medallia,Waiver,WA-65018,Blackstone Alternative Credit Advisors LP,"Medallia Parent, LP",Technology and Software; Asset Management and Investment; Financial Advisory and Broking,Blackstone Inc.,2026-05-15,Waiver application,Assessment completed,,,,10,7,Approved,2026-05-25,5420 Software Publishing; 6240 Financial Asset Investing; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/blackstone-medallia,25 May 2026: Notification waiver determination published,,,,2026-05-25T16:41:30+10:00,2026-08-11T01:56:49.469233Z
Mastercard - BVNK,Notification,MN-50015,Mastercard Incorporated; 3390142; Ares UK Holdco 2 Limited; CRN 17107097; Mastercard International Incorporated; 648928,B Corporation S.A.M; 23S09602; BVNK Holdings Limited; 13922014,Financial Advisory and Broking,,2026-05-15,Phase 1 - initial assessment,Assessment completed,,,,26,17,Approved,2026-06-10,6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/mastercard-bvnk,10 Jun 2026: Mastercard - BVNK - Phase 1 determination,,,,2026-06-10T17:22:09+10:00,2026-08-11T01:56:49.469233Z
United States–Australia Gallium,Waiver,WA-75022,United States Department of War; Alcoa Gallium Holdings Pty Ltd; ALCOA OF AUSTRALIA LIMITED; 93 004 879 298; EXPORT FINANCE AND INSURANCE CORP; 96 874 024 697,United States-Australia Gallium Pty Ltd,Mining; Manufacturing; Transport and Logistics; Banking; Government and Defence,,2026-05-14,Waiver application,Assessment completed,,,,7,6,Approved,2026-05-21,0802 Bauxite Mining; 2131 Alumina Production; 2132 Aluminium Smelting; 5212 Port and Water Transport Terminal Operations; 6230 Non-Depository Financing; 7600 Defence,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/united-states%E2%80%93australia-gallium,21 May 2026: Notification waiver determination published,,,,2026-05-21T17:32:25+10:00,2026-08-11T01:56:49.469233Z
Volt Managed Investment Trusts – HMC Energy Transition Platform,Notification,MN-90007,Volt Managed Investment Trust 2; Volt Managed Investment Trust 1,VOLT HOLDCO PTY LTD; 54 694 754 062,Energy and Utilities; Asset Management and Investment; Financial Advisory and Broking,The Trust Company (Australia) Limited (as trustee for Volt Managed Investment Trust 2); 21 000 000 993; HMC CAPITAL LIMITED; 94 138 990 593; HMC Energy Transition No. 3 Holdings Pty Ltd as trustee of the HMC Energy Transition No. 3 Trust; 98 159 167 344; Perpetual Corporate Trust Limited (as trustee for Volt Managed Investment Trust 1); The John Laing Group Limited; UK Company No: 05975300,2026-05-14,Phase 1 - initial assessment,Assessment completed,,,,22,16,Approved,2026-06-05,2619 Other Electricity Generation; 6240 Financial Asset Investing; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/volt-managed-investment-trusts-%E2%80%93-hmc-energy-transition-platform,5 Jun 2026: Volt Managed Investment Trusts – HMC Energy Transition Platform - Phase 1 determination,,,,2026-06-05T16:36:40+10:00,2026-08-11T01:56:49.469233Z
PRIME Asia – Stockland Sienna Wood and Providence,Waiver,WA-20022,Prime Property Fund Asia Limited Partnership; LEI code 549300BDKD6CMDEVJ029,Stockland Providence Retail Trust; Stockland Sienna Wood Retail No. 2 Trust,Construction and Engineering,,2026-05-14,Waiver application,Assessment completed,,,,19,13,Approved,2026-06-02,3211 Land Development and Subdivision,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/prime-asia-%E2%80%93-stockland-sienna-wood-and-providence,2 Jun 2026: Notification waiver determination published,,,,2026-06-02T17:37:17+10:00,2026-08-11T01:56:49.469233Z
AUB – further interest in KJ Risk,Waiver,WA-40023,AUSTBROKERS CORPORATE PTY LTD; 29 107 477 181,KJ RISK GROUP PTY LTD; 15 143 512 387,Financial Advisory and Broking,Niven Industries Pty Ltd; 146 449 265; AUB GROUP LIMITED; 60 000 000 715,2026-05-14,Waiver application,Assessment completed,,,,19,13,Approved,2026-06-02,6419 Other Auxiliary Finance and Investment Services; 6420 Auxiliary Insurance Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/aub-%E2%80%93-further-interest-in-kj-risk,2 Jun 2026: Notification waiver determination published,,,,2026-06-02T17:14:15+10:00,2026-08-11T01:56:49.469233Z
"Star Hotels Group - Shafston Hotel, QLD",Waiver,WA-80015,SCHF PTY LTD; 99 644 329 733; MH SOUTH BRISBANE PTY LTD; 73 601 843 485,The Trustee for Fat Shaft Operating Unit Trust; 22 173 424 812; The Trustee for Fat Shaft Property Unit Trust; 15 988 283 479,Accommodation and Hospitality; Asset Management and Investment,,2026-05-14,Waiver application,Assessment completed,,,,19,13,Approved,2026-06-02,"4520 Pubs, Taverns and Bars; 6240 Financial Asset Investing",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/star-hotels-group-shafston-hotel-qld,2 Jun 2026: Notification waiver determination published,,,,2026-06-02T17:11:49+10:00,2026-08-11T01:56:49.469233Z
QIC – CopperString Project assets from Powerlink Queensland,Waiver,WA-60019,NORTH QUEENSLAND REGIONAL ENERGY CO PTY LTD; 99 695 814 101; QBF NO. 2 PTY LTD; 78 074 123 130,QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED; 82 078 849 233,Energy and Utilities; Financial Advisory and Broking,North Queensland Regional Energy Trust; QIC LIMITED; 95 942 373 762,2026-05-13,Waiver application,Assessment completed,,,,28,19,Approved,2026-06-10,2619 Other Electricity Generation; 2620 Electricity Transmission; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/qic-%E2%80%93-copperstring-project-assets-from-powerlink-queensland,10 Jun 2026: Notification waiver determination published,,,,2026-06-10T18:15:37+10:00,2026-08-11T01:56:49.469233Z
PT Asian Bulk Logistics – Engage Marine,Notification,MN-90012,PT Asian Bulk Logistics; Global Engage Marine Pty Ltd; 693 762 122,ENGAGE MARINE FINCO PTY LTD; 25 675 999 283; ENGAGE MARINE HOLDINGS PTY LTD; 99 626 774 678; ENGAGE MARINE TOPCO PTY LTD; 46 675 998 562,Mining; Transport and Logistics,Australian Global Onshore Logistics Pty Ltd; 691 961 136; AUSTRALIAN GLOBAL MARINE AND LOGISTICS PTY LTD; 68 682 427 587; MAGNETIC INFRASTRUCTURE GROUP PTY LTD; 81 663 518 563; AUSTRALIAN GLOBAL INFRASTRUCTURE PTY LTD; 47 663 347 948,2026-05-13,Phase 1 - initial assessment,Assessment completed,,,,42,29,Approved,2026-06-24,1090 Other Mining Support Services; 5219 Other Water Transport Support Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/pt-asian-bulk-logistics-%E2%80%93-engage-marine-0,24 Jun 2026: PT Asian Bulk Logistics - Engage Marine - Phase 1 determination,,,,2026-06-24T21:50:17+10:00,2026-08-11T01:56:49.469233Z
Northstar – business assets of Mildura Mazda,Waiver,WA-45016,NORTHSTAR MILDURA PTY LTD; 94 674 572 260,SA PROGRESS NO.1 PTY LIMITED; 86 602 258 695,Automotive Retail,,2026-05-13,Waiver application,Assessment completed,,,,36,25,Approved,2026-06-18,3911 Car Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/northstar-%E2%80%93-business-assets-of-mildura-mazda,18 Jun 2026: Notification waiver determination published,,,,2026-06-18T17:07:04+10:00,2026-08-11T01:56:49.469233Z
American Industrial Partners - Avanos Medical,Waiver,WA-85027,"A-AV Holdco I, Inc","Avanos Medical, Inc.; Delaware Company Number: 5482684",Manufacturing; Wholesale Trade; Financial Advisory and Broking,"AIPCF VIII Global Corp Holding L.P.; AVANOS MEDICAL AUSTRALIA PTY LTD; 25 100 844 488; AIP, LLC",2026-05-12,Waiver application,Assessment completed,,,,10,9,Approved,2026-05-22,2419 Other Professional and Scientific Equipment Manufacturing; 3491 Professional and Scientific Goods Wholesaling; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/american-industrial-partners-avanos-medical,22 May 2026: Notification waiver determination published,,,,2026-05-22T18:27:32+10:00,2026-08-11T01:56:49.469233Z
OpenAI - Tomoro,Notification,MN-25021,OpenAI Group PBC; Delaware file number - 10381551,Tomoro AI Ltd; UK Companies House registration number - 15208678,Technology and Software; Professional Services,OpenAI Foundation; Delaware file number - 5902936,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,28,19,Approved,2026-06-09,5921 Data Processing and Web Hosting Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/openai-tomoro,9 Jun 2026: OpenAI-Tomoro - Phase 1 determination,,,,2026-06-10T11:59:09+10:00,2026-08-11T01:56:49.469233Z
Seismic – Highspot,Notification,MN-75014,"Seismic Software, Inc.; Delaware File Number - 4832793",Highspot Inc.; Delaware File Number - 5126410,Technology and Software; Asset Management and Investment; Professional Services,SEISMIC SOFTWARE PTY. LTD.; 87 611 843 808; Helix Sub Inc.; Delaware File Number - 10492811; HIGHSPOT AUSTRALIA PTY LTD; 11 653 327 649; Helix Sub LLC; Delaware File Number - 10492813,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,23,17,Approved,2026-06-04,5420 Software Publishing; 6240 Financial Asset Investing; 6962 Management Advice and Related Consulting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/seismic-%E2%80%93-highspot,4 Jun 2026: Seismic - Highspot - Phase 1 Determination,,,,2026-06-04T17:10:35+10:00,2026-08-11T01:56:49.469233Z
"Black Rhino Group – Granville Tavern and Motel and Cambridge Street Bottle Shop & Cellars in Granville, QLD",Waiver,WA-65017,BLACK RHINO (GRANVILLE) PTY LTD; 68 693 147 063; The Trustee for It Is What It Is (Granville) Trust; 82 294 935 476,GRANVILLE HOTEL QLD PTY LTD; 89 649 928 441,Supermarkets and Grocery Retail; Accommodation and Hospitality; Property and Real Estate,,2026-05-12,Waiver application,Assessment completed,,,,16,13,Approved,2026-05-28,"4123 Liquor Retailing; 4400 Accommodation; 4520 Pubs, Taverns and Bars; 6712 Non-Residential Property Operators",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/black-rhino-group-%E2%80%93-granville-tavern-and-motel-and-cambridge-street-bottle-shop-cellars-in-granville-qld,28 May 2026: Notification waiver determination published,,,,2026-05-28T20:43:31+10:00,2026-08-11T01:56:49.469233Z
"Ochre Health - Airlie Women's Clinic, VIC",Waiver,WA-01100,Ochre Health Pty Limited; 79 101 069 452; Ochre Group Commercial Property Pty Ltd; 645 244 882,Airlie Womens Clinic Pty Ltd; 55 603 753 395,Aged Care,Genesis Capital,2026-05-12,Waiver application,Assessment completed,,,,23,17,Approved,2026-06-04,8511 General Practice Medical Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ochre-health-airlie-womens-clinic-vic,4 Jun 2026: Notification waiver determination published,,,,2026-06-04T16:32:13+10:00,2026-08-11T01:56:49.469233Z
EQT Fund Management – Kakaku.com,Waiver,WA-45015,Kamgras 1 K.K.; Japan corporate number - 0104 01 197943,"Kakaku.com, Inc.; Japan corporate number - 0110-01-065997; Time Design International Pte Ltd; Singapore registration number - UEN 201736394D",Media and Entertainment; Asset Management and Investment; Business Services,EQT Fund Management S.à r.l.; Luxembourg Company Registration Number - B167972,2026-05-12,Waiver application,Assessment completed,,,,13,10,Approved,2026-05-25,5700 Internet Publishing and Broadcasting; 6240 Financial Asset Investing; 7220 Travel Agency and Tour Arrangement Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/eqt-fund-management-%E2%80%93-kakakucom,25 May 2026: Notification waiver determination published,,,,2026-05-25T16:37:57+10:00,2026-08-11T01:56:49.469233Z
Novartis - Excellergy,Notification,MN-40019,"Elba Merger Sub, Inc.; Delaware company number 10547479",Excellergy Inc.; EIN 85-4115816,Wholesale Trade; Asset Management and Investment; Professional Services,NOVARTIS AUSTRALIA PTY LIMITED; 81 004 371 224; Novartis Finance Corporation; US EIN 13-3922240; NOVARTIS PHARMACEUTICALS AUSTRALIA PTY LIMITED; 18 004 244 160; EXCELLERGY AUSTRALIA PTY LTD; 50 690 676 941,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,23,17,Approved,2026-06-04,3720 Pharmaceutical and Toiletry Goods Wholesaling; 6240 Financial Asset Investing; 6910 Scientific Research Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/novartis-excellergy,4 Jun 2026: Novartis - Excellergy - Phase 1 Determination,,,,2026-06-05T08:51:48+10:00,2026-08-11T01:56:49.469233Z
Quanta - PSD,Notification,MN-70012,Quanta Services Australia Pty Ltd; 11 164 311 997,PSD Global Holdings Pty Ltd; 634 380 813,Construction and Engineering; Professional Services,Axcentium Pty Ltd; 48 638 953 572; Consolidated Power Projects Australia Pty Ltd; 18 075 411 219; PSD Plant & Equipment Pty Ltd; 97 144 778 861; Nacap Pty Ltd; 33 006 306 994; Intellect Systems Pty Ltd; 11 115 885 348; PSD Energy Pty Ltd; 68 117 966 926,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,23,17,Approved,2026-06-04,3109 Other Heavy and Civil Engineering Construction; 6923 Engineering Design and Engineering Consulting Services; 6961 Corporate Head Office Management Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/quanta-psd,3 Jun 2026: Quanta-PSD - Phase 1 determination - 3 June 2026,,,,2026-06-12T08:52:37+10:00,2026-08-11T01:56:49.469233Z
AtkinsRéalis - WGA,Notification,MN-65016,ATKINSREALIS AUSTRALIA HOLDINGS PTY LTD; 697 935 685,WGA GROUP HOLDINGS PTY LTD; 86 649 953 980,Professional Services,,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,28,19,Approved,2026-06-09,6923 Engineering Design and Engineering Consulting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/atkinsr%C3%A9alis-wga,9 Jun 2026: AtkinsRealis - WGA - Phase 1 Determination,,,,2026-06-10T16:46:36+10:00,2026-08-11T01:56:49.469233Z
"Tony White Group - Sharton Motors dealerships in Maitland, Port Stephens and Cardiff",Notification,MN-05017,TWG HUNTER DEALERSHIPS PTY LTD; 18 695 726 348,SHARTON MOTORS PTY LTD; 55 001 345 384; N&M Burton Pty Ltd; 125 935 944,Automotive Retail,PPT INVESTMENTS PTY LTD; 80 000 868 860,2026-05-12,Phase 1 - initial assessment,Assessment completed,,,,28,19,Approved,2026-06-09,3911 Car Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/tony-white-group-sharton-motors-dealerships-in-maitland-port-stephens-and-cardiff,9 Jun 2026: Tony White Group - Sharton Motors - Phase 1 determination,,,,2026-06-09T16:40:05+10:00,2026-08-11T01:56:49.469233Z
Zoetis – Neogen Genomics Business,Notification,MN-05013,Zoetis Holdings LLC,Neogen Corporation,Agriculture and Agribusiness; Pharmaceutical Manufacturing,,2026-05-12,Phase 2 - detailed assessment,Under assessment,2026-11-27,199.0,141.0,,,,,0529 Other Agriculture and Fishing Support Services; 1842 Veterinary Pharmaceutical and Medicinal Product Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/zoetis-%E2%80%93-neogen-genomics-business,17 Jul 2026: Zoetis - Neogen Genomics Business - Phase 2 Notice | 15 Jun 2026: Timeline extended by 20 business days - following request by notifying party,,,,2026-07-28T12:48:30+10:00,2026-08-11T01:56:49.469233Z
URUS (CVC Capital Partners) – AgriWebb,Waiver,WA-30015,Alta Genetics Australia Pty Ltd; 54 140 644 784,AGRIWEBB PTY LTD; 56 163 515 900,Agriculture and Agribusiness; Technology and Software,CVC Capital Partners plc,2026-05-11,Waiver application,Assessment completed,,,,16,13,Approved,2026-05-27,0529 Other Agriculture and Fishing Support Services; 5420 Software Publishing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/urus-cvc-capital-partners-%E2%80%93-agriwebb,27 May 2026: Notification waiver determination published,,,,2026-05-27T17:06:43+10:00,2026-08-11T01:56:49.469233Z
Zijin Mining - Chifeng,Waiver,WA-25020,"Zijin Gold (Group) Co., Ltd.,; USCC 91350823MAD2GJHT7P","Li Jinyang; Zhejiang Hanfeng Venture Capital Partnership (Limited Partnership); USCC 91110108MA01H51G1X; Chifeng Jilong Gold Mining Co., Ltd.; USCC 91150000708204391F",Mining,Zijin Mining Group Co. Ltd; Norton Gold Fields Pty Ltd,2026-05-11,Waiver application,Assessment completed,,,,14,11,Approved,2026-05-25,0804 Gold Ore Mining,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/zijin-mining-chifeng,25 May 2026: Notification waiver determination published,,,,2026-05-25T16:43:44+10:00,2026-08-11T01:56:49.469233Z
Turkish Airlines - Air Europa,Waiver,WA-90016,Türk Hava Yolları Anonim Ortaklığı; Registration number - 75184-0,"Air Europa Holding, S.L.; PM-87946",Automotive Manufacturing; Aviation,"Air Europa Líneas Aéreas, S.A.U.; PM-4757; León Activos Aeronáuticos, S.L.U.; Air Europa Suma Miles, S.L.U.; Globalia Corporación Empresarial, S.A.; PM-26677; Aeronova, S.L.U.",2026-05-08,Waiver application,Assessment completed,,,,21,16,Approved,2026-05-29,2394 Aircraft Manufacturing and Repair Services; 4900 Air and Space Transport,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/turkish-airlines-air-europa,29 May 2026: Notification waiver determination published,,,,2026-05-29T16:58:49+10:00,2026-08-11T01:56:49.469233Z
Sydney Water - Windsor Sewerage Scheme Assets,Waiver,WA-80013,SYDNEY WATER CORPORATION; 49 776 225 038,HAWKESBURY CITY COUNCIL; 54 659 038 834,Energy and Utilities,,2026-05-08,Waiver application,Assessment completed,,,,21,16,Approved,2026-05-29,2812 Sewerage and Drainage Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sydney-water-windsor-sewerage-scheme-assets,29 May 2026: Notification waiver determination published,,,,2026-05-29T16:58:03+10:00,2026-08-11T01:56:49.469233Z
Triton - Integris,Waiver,WA-20020,Ivera Bidco B.V.; Dutch Commercial Register - 42000883,Protego Holdco B.V.; Dutch Commercial Register - 80710417; Agilitas Protego 2026 Subsidiary Fund LP; Jersey Registry - 5028,Manufacturing; Asset Management and Investment,Triton Investments Advisers LLP,2026-05-08,Waiver application,Assessment completed,,,,17,12,Approved,2026-05-25,2029 Other Ceramic Product Manufacturing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/triton-integris,25 May 2026: Notification waiver determination published,,,,2026-05-25T16:46:11+10:00,2026-08-11T01:56:49.469233Z
